Year,Developer,Physical (%),Digital (%),
2018,Capcom,47.13,52.87,
2019,Capcom,39.53,60.47,
2020,Capcom,19.41,80.59,
2021,Capcom,23.09,76.91,
2022,Capcom,24.54,75.46,
2023,Capcom,10.55,89.45,
2024,Capcom,9.89,90.11,
2018,Nintendo,82.70,17.3,
2019,Nintendo,75.20,24.8,
2020,Nintendo,66,34,
2021,Nintendo,57.20,42.8,
2022,Nintendo,57.40,42.6,
2023,Nintendo,51.80,48.2,
2024,Nintendo,49.80,50.2,
2018,Square Enix,55.56,44.44,
2019,Square Enix,60.04,39.96,
2020,Square Enix,21.72,78.28,
2021,Square Enix,20.63,79.37,
2022,Square Enix,21.65,78.35,
2023,Square Enix,29.37,70.63,
2024,Square Enix,23.29,76.71,
